FactrAI - Core Assumptions & Inputs

SECTION,PARAMETER,VALUE,NOTES
PROJECT BASICS,,,
,Project Timeline,60 months,5 years monthly detail
,Discount Rate,10%,For NPV calculations
,Base Currency,USD,
,Model Start Date,Jan 2026,Year 0 = 2026

CAPITAL EXPENDITURE (YEAR 0),,,
,Platform Development,"$800,000",Core marketplace platform
,Browser Extension/Mobile App,"$250,000",Cross-platform development
,ML/AI Yield Engine,"$200,000",Dynamic pricing algorithm
,Authentication Infrastructure,"$120,000","FedCM, OAuth, JWT systems"
,API Gateway & Integration,"$70,000",Publisher integration layer
,TOTAL CAPEX,"$1,440,000",Spent in Year 0

PRICING MODEL,,,
,Lite Tier - Monthly Price,$15,30 credits/month
,Pro Tier - Monthly Price,$40,100 credits/month
,Enterprise - Per User/Month,$100,Unlimited for corporate accounts
,Affiliate Conversion Fee,15%,Commission on direct conversions
,Credit Breakage Rate,8%,Unused credits kept as revenue

USER ACQUISITION TARGETS,,,
,Year 1 Target Users,"1,800",Conservative launch year
,Year 2 Target Users,"12,000",6.7x growth
,Year 3 Target Users,"45,000",3.75x growth
,Year 4 Target Users,"120,000",2.67x growth
,Year 5 Target Users,"240,000",2.0x growth

USER MIX (% OF TOTAL),,,
,Lite Tier %,70%,Primary consumer segment
,Pro Tier %,25%,Power users & professionals
,Enterprise %,5%,Corporate accounts

CHURN RATES (MONTHLY),,,
,Year 1 - Lite Tier,4.5%,Early product-market fit
,Year 1 - Pro Tier,2.5%,Higher commitment tier
,Year 1 - Enterprise,1.0%,Long-term contracts
,Year 2 - Lite Tier,4.0%,Improving retention
,Year 2 - Pro Tier,2.0%,
,Year 2 - Enterprise,0.8%,
,Year 3 - Lite Tier,3.5%,Product maturity
,Year 3 - Pro Tier,1.8%,
,Year 3 - Enterprise,0.5%,
,Year 4 - Lite Tier,3.0%,Strong retention
,Year 4 - Pro Tier,1.5%,
,Year 4 - Enterprise,0.5%,
,Year 5 - Lite Tier,2.5%,Best-in-class
,Year 5 - Pro Tier,1.2%,
,Year 5 - Enterprise,0.3%,

CUSTOMER ACQUISITION COST,,,
,B2C CAC - Year 1,$75,Performance marketing + SEO
,B2C CAC - Year 2,$65,Improving efficiency
,B2C CAC - Year 3,$55,Word of mouth kicking in
,B2C CAC - Year 4,$45,Strong organic growth
,B2C CAC - Year 5,$40,Mature acquisition
,B2B CAC (per account),"$2,500",Enterprise sales cycle
,Average Enterprise Account Size,20 users,Blended for modeling

PUBLISHER ECONOMICS,,,
,Starting Publisher Partners,5,Pilot phase
,Year 1 Publisher Partners,25,Initial network
,Year 2 Publisher Partners,75,3x growth
,Year 3 Publisher Partners,150,2x growth
,Year 4 Publisher Partners,250,1.67x growth
,Year 5 Publisher Partners,350,1.4x growth
,Average Payout per Article,$0.50,"Range $0.20-$0.80"
,Publisher Revenue Share,65%,Of recognized credit revenue
,Articles per Active User/Month,6,Average consumption

CREDIT ECONOMICS,,,
,Lite - Credits per Month,30,Approx 15-20 articles
,Pro - Credits per Month,100,Approx 50-60 articles
,Enterprise - Effective Credits,Unlimited,Flat rate model
,Average Credit Cost to FactrAI,$0.083,Blended publisher payout
,Credit Utilization Rate,92%,8% breakage
,Credits per Article,"2-3",Varies by length/publisher

OPERATING EXPENSES - PERSONNEL,,,
,Year 0 Monthly Burn,"$120,000",Core founding team
,Year 1 Monthly Burn,"$240,000",Building out team
,Year 2 Monthly Burn,"$360,000",Scaling operations
,Year 3 Monthly Burn,"$540,000",Market expansion
,Year 4 Monthly Burn,"$660,000",Mature operations
,Year 5 Monthly Burn,"$780,000",Optimized scale
,Engineering Team % of OpEx,40%,Product development
,Sales & BD % of OpEx,25%,B2B + publisher partnerships
,Marketing % of OpEx,20%,User acquisition
,Operations & Admin % of OpEx,15%,Support + infrastructure

TECHNOLOGY INFRASTRUCTURE,,,
,Cloud Hosting (Year 1/month),"$5,000",AWS/GCP scaling
,Cloud Hosting Growth Rate,40%,Annual increase with usage
,Data Storage & Processing,"$3,000",Year 1 monthly
,API & Authentication Costs,"$2,000",Year 1 monthly
,Software Licenses,"$4,000",Year 1 monthly
,Infrastructure Growth Rate,35%,Annual scaling

COST AVOIDANCE & BENEFITS,,,
,Year 1 Cost Avoidance (Enterprise),"$50,000",Legacy system maintenance saved
,Cost Avoidance Annual Growth,25%,Growing organizational benefits
,Year 1 Research Efficiency Value,"$80,000",Productivity gains quantified
,Efficiency Value Annual Growth,30%,Increasing proficiency
,Time Savings per Knowledge Worker,9 hrs/week,From business problem analysis
,Enterprise Productivity Value/User,"$2,400",Annual benefit quantification

FUNDING ASSUMPTIONS,,,
,Seed Round (Year 0),"$3,000,000",Platform build + 12mo runway
,Series A (Year 1),"$8,000,000",Scale user acquisition
,Target Seed Dilution,20%,Founder-friendly
,Target Series A Dilution,25%,Growth capital
,Reserve for Series B,TBD,Based on traction

SCENARIO ANALYSIS VARIABLES,,,
,Best Case - User Growth Multiplier,1.5x,50% better acquisition
,Best Case - Churn Reduction,-25%,Better retention
,Worst Case - User Growth Multiplier,0.6x,40% lower acquisition
,Worst Case - Churn Increase,+25%,Worse retention
,Publisher Payout Sensitivity,"±15%",Negotiation range

KEY MILESTONES,,,
,Break-even Target,Month 51,Based on base case
,Profitability Target,Year 5,Positive EBITDA
,Enterprise Customer Target (Year 3),50 accounts,"1,000 total users"
,Publisher Network Target (Year 3),150 partners,Critical mass for value prop
,Revenue Target (Year 5),"$43.2M",ARR basis
